id,RelEv,TagDate,RelSite,RelLoc,RelDate,RelTime,wtempC,weight,FL,AirTime,CanID
39464,16,2016-03-10,T2,TISDALE,2016-03-11,411,11,24.3,130,1:27,8
36509,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,25.2,132,1:33,4
36392,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,25.3,134,1:45,3
36457,4,2016-02-20,S1,TISDALE,2016-02-21,2308,13,25.3,131,1:59,15
36505,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,25.6,135,1:27,4
36380,3,2016-02-20,S1,TISDALE,2016-02-21,1702,13,25.9,133,1:34,11
39411,5,2016-03-05,S1,TISDALE,2016-03-06,314,14.1,26.4,137,1:24,4
39473,18,2016-03-10,T3,TISDALE,2016-03-11,759,12.7,26.5,140,1:31,10
38875,7,2016-03-05,S1,TISDALE,2016-03-06,1439,14.1,26.6,137,1:51,11
36441,2,2016-02-20,S1,TISDALE,2016-02-21,1049,11.4,26.7,136,2:11,8
38902,8,2016-03-05,S1,TISDALE,2016-03-06,2100,14.4,26.8,137,1:28,13
36342,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,27.2,139,2:29,1
38780,5,2016-03-05,S1,TISDALE,2016-03-06,301,14.1,27.2,137,3:26,1
39420,5,2016-03-05,S1,TISDALE,2016-03-06,314,14.1,27.2,136,2:05,4
36480,2,2016-02-20,S1,TISDALE,2016-02-21,1046,11.4,27.4,140,1:39,7
38923,8,2016-03-05,S1,TISDALE,2016-03-06,2108,14.4,27.4,139,1:39,15
36382,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,27.6,133,2:04,1
38934,11,2016-03-10,T1,TISDALE,2016-03-11,9,11,27.7,140,1:28,3
36379,3,2016-02-20,S1,TISDALE,2016-02-21,1702,13,27.8,138,1:50,11
39459,14,2016-03-10,T2,TISDALE,2016-03-11,405,11,28,139,1:28,6
36459,4,2016-02-20,S1,TISDALE,2016-02-21,2308,13,28.1,139,1:48,15
36425,4,2016-02-20,S1,TISDALE,2016-02-21,2301,13,28.2,131,2:01,13
36631,4,2016-02-20,S1,TISDALE,2016-02-21,2305,13,28.3,141,1:53,14
36438,4,2016-02-20,S1,TISDALE,2016-02-21,2308,13,28.3,134,,15
39331,8,2016-03-05,S1,TISDALE,2016-03-06,2105,14.4,28.4,138,1:31,14
36640,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,28.5,137,2:17,4
39018,32,2016-03-14,S1,TISDALE,2016-03-16,1000,11.4,28.5,140,1:45,3
39398,6,2016-03-05,S1,TISDALE,2016-03-06,850,14.7,28.6,144,1:35,6
38859,7,2016-03-05,S1,TISDALE,2016-03-06,1433,14.1,28.6,138,1:46,9
36652,4,2016-02-20,S1,TISDALE,2016-02-21,2311,13,28.8,138,2:10,16
38786,5,2016-03-05,S1,TISDALE,2016-03-06,301,14.1,28.8,139,2:22,1
39505,15,2016-03-10,T2,TISDALE,2016-03-11,409,11,28.9,138,2:26,7
39291,20,2016-03-10,T3,TISDALE,2016-03-11,803,12.7,28.9,138,2:02,12
38942,15,2016-03-10,T2,TISDALE,2016-03-11,409,11,29.1,140,1:29,7
39488,10,2016-03-10,T1,TISDALE,2016-03-11,7,11,29.3,143,2:06,2
36521,3,2016-02-20,S1,TISDALE,2016-02-21,1658,13,29.4,138,1:37,10
39106,51,2016-03-16,S1,TISDALE,2016-03-17,1800,12.2,29.4,139,1:32,2
39016,30,2016-03-14,S1,TISDALE,2016-03-15,1800,14.4,29.5,145,1:37,1
36667,4,2016-02-20,S1,TISDALE,2016-02-21,2305,13,29.7,145,1:34,14
39462,16,2016-03-10,T2,TISDALE,2016-03-11,411,11,29.7,141,,8
39057,30,2016-03-14,S1,TISDALE,2016-03-15,1800,11.4,29.7,140,2:21,1
36498,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,29.8,139,1:47,2
39532,31,2016-03-14,S1,TISDALE,2016-03-16,159,11.4,29.8,138,1:48,2
36675,2,2016-02-20,S1,TISDALE,2016-02-21,1049,11.4,30.2,138,1:29,8
38993,17,2016-03-10,T3,TISDALE,2016-03-11,755,12.7,30.2,138,1:59,9
36586,2,2016-02-20,S1,TISDALE,2016-02-21,1043,11.4,30.3,143,1:56,6
39451,12,2016-03-10,T1,TISDALE,2016-03-11,13,11,30.3,140,1:43,4
39477,20,2016-03-10,T3,TISDALE,2016-03-11,803,12.7,30.3,145,1:24,12
36413,3,2016-02-20,S1,TISDALE,2016-02-21,1702,13,30.6,138,1:56,11
38852,6,2016-03-05,S1,TISDALE,2016-03-06,855,14.7,30.7,145,1:21,7
39365,7,2016-03-05,S1,TISDALE,2016-03-06,1436,14.1,30.8,140,1:38,10
39475,20,2016-03-10,T3,TISDALE,2016-03-11,803,12.7,30.9,147,1:26,12
36594,2,2016-02-20,S1,TISDALE,2016-02-21,1046,11.4,31.1,147,2:13,7
39853,18,2016-03-10,T3,TISDALE,2016-03-11,759,12.7,31.3,146,2:42,10
39113,53,2016-03-16,S1,TISDALE,2016-03-18,959,12.2,31.3,150,1:15,3
36475,2,2016-02-20,S1,TISDALE,2016-02-21,1046,11.4,31.4,144,1:36,7
39849,18,2016-03-10,T3,TISDALE,2016-03-11,759,12.7,31.4,148,1:53,10
39284,19,2016-03-10,T3,TISDALE,2016-03-11,802,12.7,31.4,145,2:00,11
36660,4,2016-02-20,S1,TISDALE,2016-02-21,2311,13,31.5,147,1:40,16
39056,30,2016-03-14,S1,TISDALE,2016-03-15,1800,11.4,31.5,146,2:01,1
36458,4,2016-02-20,S1,TISDALE,2016-02-21,2308,13,31.6,143,1:53,15
36615,4,2016-02-20,S1,TISDALE,2016-02-21,2311,13,31.7,142,2:02,16
38926,9,2016-03-10,T1,TISDALE,2016-03-11,3,11,31.7,148,1:35,1
