datePST,timePST,stage_ft
20160201,1145,29.47
20160201,1200,29.48
20160201,1215,29.5
20160201,1230,29.45
20160201,1245,29.48
20160201,1300,29.44
20160201,1315,29.5
20160201,1330,29.47
20160201,1345,29.51
20160201,1400,29.42
20160201,1415,29.44
20160201,1430,29.45
20160201,1445,29.4
20160201,1500,29.45
20160201,1515,29.39
20160201,1530,29.42
20160201,1545,29.42
20160201,1600,29.43
20160201,1615,29.37
20160201,1630,29.43
20160201,1645,29.45
20160201,1700,29.44
20160201,1715,29.44
20160201,1730,29.38
20160201,1745,29.39
20160201,1800,29.31
20160201,1815,29.41
20160201,1830,29.41
20160201,1845,29.39
20160201,1900,29.37
20160201,1915,29.39
20160201,1930,29.35
20160201,1945,29.41
20160201,2000,29.32
20160201,2015,29.4
20160201,2030,29.31
20160201,2045,29.37
20160201,2100,29.36
20160201,2115,29.36
20160201,2130,29.3
20160201,2145,29.32
20160201,2200,29.36
20160201,2215,29.26
20160201,2230,29.27
20160201,2245,29.27
20160201,2300,29.34
20160201,2315,29.3
20160201,2330,29.31
20160201,2345,29.24
20160202,0,29.32
20160202,15,29.26
20160202,30,29.29
20160202,45,29.27
20160202,100,29.23
20160202,115,29.27
20160202,130,29.24
20160202,145,29.31
20160202,200,29.21
20160202,215,29.19
20160202,230,29.25
20160202,245,29.23
20160202,300,29.2
20160202,315,29.23
20160202,330,29.15
20160202,345,29.22
20160202,400,29.15
20160202,415,29.12
20160202,430,29.12
20160202,445,29.08
20160202,500,29.12
20160202,515,29.05
20160202,530,28.97
20160202,545,29.1
20160202,600,29.04
20160202,615,29.02
20160202,630,29.02
20160202,645,29.01
20160202,700,28.93
20160202,715,28.86
20160202,730,28.94
20160202,745,28.96
20160202,800,28.94
20160202,815,28.98
20160202,830,28.98
20160202,845,29
20160202,900,28.91
20160202,915,28.98
20160202,930,28.87
20160202,945,28.9
20160202,1000,28.9
20160202,1015,28.82
20160202,1030,28.87
20160202,1045,28.87
20160202,1100,28.75
20160202,1115,28.68
20160202,1130,28.61
20160202,1145,28.6
20160202,1200,28.59
20160202,1215,28.63
20160202,1230,28.62
20160202,1245,28.6
20160202,1300,28.67
20160202,1315,28.54
20160202,1330,28.54
20160202,1345,28.56
20160202,1400,28.48
20160202,1415,28.49
20160202,1430,28.5
20160202,1445,28.46
20160202,1500,28.51
20160202,1515,28.42
20160202,1530,28.37
20160202,1545,28.36
20160202,1600,28.34
20160202,1615,28.32
20160202,1630,28.3
20160202,1645,28.29
20160202,1700,28.28
20160202,1715,28.31
