"","id","TagDate","RelSite","RelLoc","RelDate","RelTime","wtempC","weight","FL","AirTime","CanID","RelEv"
"169",36585,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,49.7,165,"",6,1
"170",36586,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,30.3,143,"1:56",6,1
"171",36587,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,42.8,159,"2:16",6,1
"172",36588,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,24,133,"",6,1
"173",36589,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,53.7,172,"1:36",8,1
"174",36590,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,68.6,185,"2:09",7,1
"175",36591,"2016-03-14","S1","TISDALE","2016-03-16","1000",11.4,35.7,150,"4:08",3,4
"176",36593,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,34,147,"2:23",7,1
"177",36594,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,31.1,147,"2:13",7,1
"178",36595,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,33.9,149,"2:32",7,1
"179",36596,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,32.5,144,"2:02",7,1
"180",36597,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,20.8,123,"2:23",7,1
"181",36598,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,59,176,"2:06",10,1
"182",36599,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,36.9,151,"2:17",10,1
"183",36601,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,48.6,162,"1:49",10,1
"184",36602,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,73.4,186,"2:47",10,1
"185",36603,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,48.6,167,"2:07",10,1
"186",36604,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,47.5,163,"1:51",10,1
"187",36605,"2016-02-20","S1","TISDALE","2016-02-21","1658",13,21.3,126,"N/T",10,1
"188",36606,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,22.4,129,"2:33",12,1
"189",36608,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,40.3,156,"2:02",12,1
"190",36609,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,42.7,161,"2:04",12,1
"191",36610,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,39.7,158,"1:53",12,1
"192",36611,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,57.9,175,"2:01",12,1
"193",36612,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,76.9,192,"2:01",12,1
"194",36613,"2016-02-20","S1","TISDALE","2016-02-21","1706",13,45.9,164,"2:07",12,1
"195",36614,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,40.7,161,"2:10",16,1
"196",36615,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,31.7,142,"2:02",16,1
"197",36616,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,65.4,177,"1:41",16,1
"198",36617,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,21.1,124,"2:41",16,1
"199",36618,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,34.9,146,"2:12",16,1
"200",36619,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,48.9,164,"1:45",16,1
"201",36621,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,71.4,188,"1:40",16,1
"202",36622,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,40.9,160,"1:41",16,1
"203",36623,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,38.4,154,"1:49",15,1
"204",36624,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,49.4,165,"2:07",14,1
"205",36625,"2016-03-16","S1","TISDALE","2016-03-17","1800",12.2,96.7,196,"1:51",2,5
"206",36626,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,74.4,190,"2:21",14,1
"207",36627,"2016-03-16","S1","TISDALE","2016-03-18","959",12.2,57.4,181,"1:57",3,5
"208",36628,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,36.8,151,"2:04",14,1
"209",36629,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,23.2,127,"2:29",14,1
"210",36630,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,50.4,164,"2:25",14,1
"211",36631,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,28.3,141,"1:53",14,1
"212",36632,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,34.2,143,"2:02",14,1
"213",36633,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,39.4,156,"2:11",14,1
"214",36634,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,39.7,154,"2:57",4,1
"215",36635,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,51.6,166,"2:00",4,1
"216",36638,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,38.3,153,"1:34",4,1
"217",36639,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,57.8,173,"1:57",4,1
"218",36640,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,28.5,137,"2:17",4,1
"219",36641,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,64.4,182,"1:17",4,1
"220",36642,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,23.8,133,"N/T",4,1
"221",36644,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,47.1,163,"2:17",2,1
"222",36646,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,53.3,167,"N/T",2,1
"223",36647,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,32.3,142,"2:49",2,1
"224",36648,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,105.9,211,"2:25",2,1
"225",36649,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,51.1,165,"2:22",2,1
"226",36650,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,51.5,167,"2:22",2,1
"227",36651,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,66.5,186,"3:13",2,1
"228",36652,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,28.8,138,"2:10",16,1
"229",36653,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,91.1,204,"1:42",16,1
"230",36654,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,37.4,155,"1:37",16,1
"231",36655,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,37.5,153,"1:43",16,1
"232",36656,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,37,152,"1:37",16,1
"233",36657,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,54.7,173,"1:44",16,1
"234",36660,"2016-02-20","S1","TISDALE","2016-02-21","2311",13,31.5,147,"1:40",16,1
"235",36662,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,44.1,165,"1:53",14,1
"236",36663,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,85,198,"1:40",14,1
"237",36664,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,40.4,156,"1:55",14,1
"238",36665,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,50.2,168,"1:34",14,1
"239",36666,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,46.4,160,"1:37",14,1
"240",36667,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,29.7,145,"1:34",14,1
"241",36668,"2016-02-20","S1","TISDALE","2016-02-21","2305",13,45.6,164,"1:58",14,1
"242",36669,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,34.7,150,"1:09",8,1
"243",36671,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,54.7,173,"1:19",8,1
"244",36672,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,37.6,152,"1:34",8,1
"245",36675,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,30.2,138,"1:29",8,1
"246",36676,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,23.5,129,"1:14",8,1
"247",36677,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,44.2,157,"1:33",8,1
"248",36735,"2016-02-20","S1","TISDALE","2016-02-21","1049",11.4,56.7,175,"1:45",8,1
"249",36736,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,99,206,NA,6,1
"250",36737,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,23.5,129,"1:25",6,1
"251",36738,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,51.6,169,"2:08",6,1
"252",36739,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,22,124,"2:08",6,1
"253",36740,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,44.2,158,"1:47",6,1
"254",36741,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,54,169,"1:27",6,1
"255",36742,"2016-02-20","S1","TISDALE","2016-02-21","1043",11.4,49.7,166,"1:22",6,1
"256",38780,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,27.2,137,"3:26",1,2
"257",38781,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,46.1,163,"2:43",1,2
"258",38782,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,42,156,"2:21",1,2
"259",38783,"2016-03-05","S1","TISDALE","2016-03-06","301",14.1,53.3,173,"2:38",1,2
